time,region,number,spatial_ref,T,LOAD,population,height,T.historical.ukesm1_0_ll,T.historical.mpi_esm1_2_lr,T.historical.hadgem3_gc31_ll,T.historical.ipsl_cm6a_lr,T.ssp126.hadgem3_gc31_ll,T.ssp126.mpi_esm1_2_lr,T.ssp126.ipsl_cm6a_lr,T.ssp126.ukesm1_0_ll,T.ssp585.ipsl_cm6a_lr,T.ssp585.ukesm1_0_ll,T.ssp585.hadgem3_gc31_ll,T.ssp585.mpi_esm1_2_lr
1994-09-30,ALL_US,0,0,292.07617,3121167.6060129865,258650579.60104176,1.5,291.60650209438165,291.2633156887589,293.35772056746436,290.68519794605754,,,,,,,,
1994-10-31,ALL_US,0,0,285.53207,3126406.8970791083,258927120.72806028,1.5,286.15536951788704,286.8723292746885,285.9164557757868,285.50111250911215,,,,,,,,
1994-11-30,ALL_US,0,0,278.80505,3132037.895118352,259194770.35815534,1.5,277.57819222969,278.9553640100866,276.2385871959842,276.25979933801136,,,,,,,,
1994-12-31,ALL_US,0,0,275.11978,3138436.0,259471371.8,1.5,269.91216597725406,274.24142520882225,272.21804279639554,272.58109354819885,,,,,,,,
1995-01-31,ALL_US,0,0,273.37512,3145423.0102633103,259748003.89364156,1.5,268.2850893671564,270.2279848242655,266.23080413442375,272.4865521155736,,,,,,,,
1995-02-28,ALL_US,0,0,275.87015,3152240.0349811087,259997891.48538464,1.5,269.7282746840884,273.6178272480793,268.3737055420276,272.0345482047047,,,,,,,,
1995-03-31,ALL_US,0,0,279.20428,3160347.865164354,260274581.91631705,1.5,277.34420915888677,279.81463525141584,277.5834500338727,276.1194774399675,,,,,,,,
1995-04-30,ALL_US,0,0,282.73575,3168754.868800814,260542376.03407082,1.5,282.03788963281784,283.589680504394,284.3989993338311,279.6702208259767,,,,,,,,
1995-05-31,ALL_US,0,0,287.91364,3178021.512799586,260819126.77982947,1.5,288.61675908394704,288.3233189905855,289.71328001060573,287.7795879640368,,,,,,,,
1995-06-30,ALL_US,0,0,293.03372,3187549.9491607486,261086979.26676977,1.5,293.32324587232233,293.64192543076996,294.25467505768097,291.54640179722406,,,,,,,,
1995-07-31,ALL_US,0,0,296.48157,3197705.760425089,261363727.71464926,1.5,297.15881996400157,296.6606421035412,296.8942437360962,294.92369325108115,,,,,,,,
1995-08-31,ALL_US,0,0,296.89688,3207855.643443648,261640368.69224477,1.5,298.72791959096196,296.7091502293605,295.73760315175724,295.32536132438395,,,,,,,,
1995-09-30,ALL_US,0,0,291.50824,3217671.802610826,261907983.28717834,1.5,291.995940735716,292.803921265344,292.8465539694353,291.02006952667057,,,,,,,,
1995-10-31,ALL_US,0,0,285.67914,3227808.648537769,262184412.4724455,1.5,285.66925026404084,284.1369983187702,285.96795290904106,284.2698416485353,,,,,,,,
1995-11-30,ALL_US,0,0,278.58075,3237612.191164673,262451822.10706118,1.5,279.4194541528396,277.4841309505467,277.791881620419,277.5036883090331,,,,,,,,
1995-12-31,ALL_US,0,0,273.65833,3247736.0,262728039.5,1.5,274.2952220999632,269.9934131640174,272.2919489271426,273.28437373570523,,,,,,,,
1996-01-31,ALL_US,0,0,271.48822,3257853.1834281115,263004149.26077184,1.5,268.9830335681847,271.7673407706462,265.1694994285939,274.52854222698846,,,,,,,,
1996-02-29,ALL_US,0,0,274.67175,3267311.647317388,263262348.04843953,1.5,270.68440309191476,273.7262000379083,273.03115409076,275.58902627326887,,,,,,,,
1996-03-31,ALL_US,0,0,276.6171,3277416.0073766974,263538249.48888844,1.5,274.71422407597254,277.16417102105953,277.52537124390483,279.2251098678735,,,,,,,,
1996-04-30,ALL_US,0,0,283.40314,3287188.1120671816,263805148.40271226,1.5,281.86641624235085,284.41536818110455,282.48160749221927,282.8962515694654,,,,,,,,
1996-05-31,ALL_US,0,0,289.11096,3297279.4350348734,264080838.05083272,1.5,289.6278401651996,288.869664510144,287.56613106260505,285.9621443706306,,,,,,,,
1996-06-30,ALL_US,0,0,294.12646,3307038.923185084,264347532.00433877,1.5,294.1234301749118,293.46247705593834,293.15275798171456,290.9076480340856,,,,,,,,
1996-07-31,ALL_US,0,0,296.31516,3316696.1291766213,264623108.14930692,1.5,296.5272801731899,295.33005908453174,297.30567081484975,295.4604360485382,,,,,,,,
1996-08-31,ALL_US,0,0,295.69083,3325447.938140722,264898786.45489407,1.5,297.78944097769664,296.6371867058729,296.79698382648303,295.3720068767416,,,,,,,,
1996-09-30,ALL_US,0,0,290.64044,3333054.9266512603,265165669.28641313,1.5,291.04832672172387,292.5174514509726,292.2226061185957,291.2910791220587,,,,,,,,
1996-10-31,ALL_US,0,0,285.12555,3340024.2272756044,265441548.83263198,1.5,285.4139988475567,285.6565908965881,284.66049614676604,286.24626657273564,,,,,,,,
1996-11-30,ALL_US,0,0,276.9437,3345906.2077154117,265708626.41314945,1.5,277.85974508423294,279.0198412176288,278.5595474220272,277.04660892558775,,,,,,,,
1996-12-31,ALL_US,0,0,273.84045,3351093.0,265984707.2,1.5,270.94979424493897,271.3928200095218,270.75938479088506,271.36926309630024,,,,,,,,
1997-01-31,ALL_US,0,0,271.41846,3355373.9273906136,266260890.25667968,1.5,268.2119032900893,270.6397340816474,272.79334653365044,270.4505819178813,,,,,,,,
1997-02-28,ALL_US,0,0,275.05927,3358461.9612851297,266510433.82387736,1.5,271.81480448433524,275.72539611113746,272.5827264193124,273.6849007184379,,,,,,,,
1997-03-31,ALL_US,0,0,279.7068,3361018.8232323728,266786811.52313522,1.5,278.86164598284404,277.8870331194763,276.99013289328775,276.35291836418037,,,,,,,,
1997-04-30,ALL_US,0,0,281.65216,3362630.7017265973,267054371.18723884,1.5,283.6423526864763,282.4105877652188,282.056598543352,279.64190790385226,,,,,,,,
1997-05-31,ALL_US,0,0,288.2208,3363405.055334084,267330950.12712845,1.5,288.5603521584311,287.44792382185506,290.37333310656464,286.1679761756654,,,,,,,,
1997-06-30,ALL_US,0,0,293.2948,3363291.925757577,267598704.54023048,1.5,293.96914974987857,292.6123526593002,294.50416971062504,292.76970769123864,,,,,,,,
1997-07-31,ALL_US,0,0,295.93402,3363091.2110378705,267875441.55848113,1.5,296.58084262671974,296.2862049398001,297.81952432306736,295.74144858257,,,,,,,,
1997-08-31,ALL_US,0,0,295.19116,3363765.824143658,268152185.63165852,1.5,295.99839510381577,296.3017431092694,296.6637804914632,296.04416463828596,,,,,,,,
1997-09-30,ALL_US,0,0,292.1751,3365254.0918951174,268420009.08764595,1.5,292.3144267522001,290.7046345852572,291.74406967282914,292.6655991474844,,,,,,,,
1997-10-31,ALL_US,0,0,285.08194,3367655.232142346,268696766.8235092,1.5,286.08731650229237,283.7229471773358,285.0785832827334,284.8262681108172,,,,,,,,
1997-11-30,ALL_US,0,0,277.72043,3370814.33261133,268964603.5014507,1.5,278.9370160036565,275.5396506478295,276.0392489416984,277.26749714933635,,,,,,,,
1997-12-31,ALL_US,0,0,273.61273,3374942.0,269241374.8999999,1.5,273.0196877458162,270.24233008248694,272.2473911118283,271.1311272474469,,,,,,,,
1998-01-31,ALL_US,0,0,274.2733,3379947.0828212057,269518153.2418813,1.5,271.8285582870315,268.97623476307183,271.7402241043189,269.6368097111639,,,,,,,,
1998-02-28,ALL_US,0,0,276.4022,3385221.9600699903,269768152.55087763,1.5,273.181683251101,273.9701419234495,275.21965453325413,270.7096327709565,,,,,,,,
1998-03-31,ALL_US,0,0,277.66742,3391896.9625853775,270044944.10748804,1.5,274.8317314229661,277.6898017513156,276.489528980783,278.0578296095538,,,,,,,,
1998-04-30,ALL_US,0,0,283.4346,3399192.05879774,270312813.5151848,1.5,282.165471782119,281.31201659706795,284.05974123425756,280.13068021291383,,,,,,,,
1998-05-31,ALL_US,0,0,289.95822,3407593.588454569,270589618.7344812,1.5,287.06210609778395,286.9545449661173,289.47325889247253,287.84696906802594,,,,,,,,
1998-06-30,ALL_US,0,0,293.05264,3416559.5173844555,270857501.3641321,1.5,292.57499923418504,292.69086923082443,292.31642513949447,291.9858766994366,,,,,,,,
1998-07-31,ALL_US,0,0,297.19815,3425999.2349658315,271134251.9332305,1.5,296.94124364363876,296.032513710954,297.44792137185703,296.9173720577811,,,,,,,,
1998-08-31,ALL_US,0,0,296.45895,3434797.908673067,271410858.7491271,1.5,296.77496341144365,295.2131640634913,297.403171464536,295.67125901754093,,,,,,,,
1998-09-30,ALL_US,0,0,293.65576,3442700.7005556296,271678405.72414935,1.5,293.0669789224161,289.7032320672434,292.70601490573614,291.11556831499365,,,,,,,,
1998-10-31,ALL_US,0,0,285.67014,3450234.4634056906,271954729.3232987,1.5,285.68339196419845,283.2294317911046,287.95886154565795,285.2811291019601,,,,,,,,
1998-11-30,ALL_US,0,0,279.88467,3456913.1480071153,272222002.21759784,1.5,275.1461225085434,277.719627614993,279.9209731284544,276.98222645547196,,,,,,,,
1998-12-31,ALL_US,0,0,274.49106,3463182.0,272498042.6,1.5,269.7017422929893,271.1335879835232,272.17739985519296,271.99210183907945,,,,,,,,
1999-01-31,ALL_US,0,0,273.56915,3468808.0284425174,272773939.0525799,1.5,266.6532519804313,271.70468125771714,270.72705483663646,270.2002908604388,,,,,,,,
1999-02-28,ALL_US,0,0,276.92407,3473337.081965411,273023012.1377058,1.5,267.0739228188354,273.8139404530716,270.51432044710054,271.34886789998984,,,,,,,,
1999-03-31,ALL_US,0,0,278.80472,3477739.6720378725,273298634.6593334,1.5,275.44957571381974,278.0761507343647,278.07295754088835,276.0072732001393,,,,,,,,
1999-04-30,ALL_US,0,0,283.59402,3481388.1894351705,273565229.09151477,1.5,282.8549590689001,282.208408339317,282.9430608196644,278.88125218089397,,,,,,,,
1999-05-31,ALL_US,0,0,288.60303,3484525.868650457,273840568.39639527,1.5,287.43171564526887,288.1642339994934,287.6955538578917,286.8279179875854,,,,,,,,
1999-06-30,ALL_US,0,0,293.2774,3486950.2787666162,274106888.74785346,1.5,293.37030669307575,292.93643625869777,293.3454378847017,291.5838398459621,,,,,,,,
1999-07-31,ALL_US,0,0,296.6845,3489602.585419725,274382397.8755602,1.5,297.3158307750476,296.2122753470802,297.39093364019993,296.5954832767204,,,,,,,,
1999-08-31,ALL_US,0,0,295.94064,3493331.7107423176,274658762.4675514,1.5,296.2172673663131,295.98782933421523,297.31774024189053,296.710404799824,,,,,,,,
1999-09-30,ALL_US,0,0,291.10455,3497967.735493567,274927027.70389646,1.5,294.2997314983319,291.83826670083454,292.8340557477362,292.0233614197758,,,,,,,,
1999-10-31,ALL_US,0,0,285.65778,3503819.727990224,275205077.9336849,1.5,285.9147064628102,286.1715383984325,285.90012961262147,283.8405947506336,,,,,,,,
1999-11-30,ALL_US,0,0,281.76443,3510510.1403292776,275474974.43241423,1.5,277.0190728574177,277.76299716637146,278.101426037796,277.6474101807044,,,,,,,,
1999-12-31,ALL_US,0,0,275.0389,3518485.0,275754710.29999995,1.5,272.1436800695721,273.86076849297604,271.129152402183,272.4753222661482,,,,,,,,
2000-01-31,ALL_US,0,0,273.6414,3527538.6938083614,276035302.8031875,1.5,265.30821771302305,272.58344555700387,268.81789570564484,272.12987087322216,,,,,,,,
2000-02-29,ALL_US,0,0,277.03757,3536984.954405096,276298568.0824166,1.5,270.4561244572127,272.40576393103714,271.96905091899686,274.67561398649184,,,,,,,,
2000-03-31,ALL_US,0,0,280.47794,3548126.7142863083,276580818.58999485,1.5,276.1804877373398,275.3977212240651,278.84536092601456,277.556666004283,,,,,,,,
2000-04-30,ALL_US,0,0,284.37,3559936.256352351,276854779.87368214,1.5,282.45030784958004,282.13212670222794,284.1014703194292,281.53660687779757,,,,,,,,
2000-05-31,ALL_US,0,0,290.37253,3573200.8834076277,277138716.0190576,1.5,289.72536571622567,288.0555901005003,287.80643085272334,286.33628797416355,,,,,,,,
2000-06-30,ALL_US,0,0,293.67123,3587064.8130614753,277414308.5651293,1.5,294.8836622497928,292.7665268319493,292.59243024614955,292.1230601842072,,,,,,,,
2000-07-31,ALL_US,0,0,296.52563,3600970.0449404293,277696953.1539535,1.5,299.29105963997586,296.21029081442333,296.05696065326055,294.94646320902723,,,,,,,,
2000-08-31,ALL_US,0,0,296.61887,3612790.3043180285,277974099.7224426,1.5,297.64032149987,296.6060437431422,297.29676230794564,295.3106458592957,,,,,,,,
2000-09-30,ALL_US,0,0,291.73172,3622242.5253541437,278237068.08172876,1.5,293.57710517114305,291.63549243658343,291.43766699181924,291.7584323140107,,,,,,,,
2000-10-31,ALL_US,0,0,285.69037,3629956.856117847,278503389.45576423,1.5,285.9148803856084,285.9466581050194,285.72030238901306,282.830250983155,,,,,,,,
2000-11-30,ALL_US,0,0,275.85013,3635435.597850192,278755881.82041794,1.5,276.76229976057357,276.47496749143727,280.15112694984606,278.6400853654282,,,,,,,,
2000-12-31,ALL_US,0,0,270.5281,3639043.9999999995,279011377.99999994,1.5,270.77168517108396,271.6068692904299,273.2879017528144,273.96256589875344,,,,,,,,
2001-01-31,ALL_US,0,0,272.1894,3640565.782690286,279261372.85125303,1.5,269.9202141824591,269.8450676016316,272.07213444725016,270.18656420566475,,,,,,,,
2001-02-28,ALL_US,0,0,273.4901,3640146.8021508525,279482446.1433322,1.5,271.4786553912735,273.09695907612,276.3769079478093,275.0829590231934,,,,,,,,
2001-03-31,ALL_US,0,0,277.898,3637697.2768375343,279721970.72454,1.5,278.8323945986875,280.516341385381,280.74411962097804,275.11453947223345,,,,,,,,
2001-04-30,ALL_US,0,0,284.5216,3633340.0288179223,279948530.7090378,1.5,281.2884725012749,284.01467602565793,283.3405925919849,281.12194979738564,,,,,,,,
2001-05-31,ALL_US,0,0,290.29297,3626784.574890709,280177230.0957921,1.5,286.5474020276443,288.17658769341733,291.00613223106996,286.0263636745293,,,,,,,,
2001-06-30,ALL_US,0,0,293.88968,3618453.8475673264,280393314.0856575,1.5,293.2047902561243,293.3190315143107,294.43932841604106,292.5714068065121,,,,,,,,
2001-07-31,ALL_US,0,0,296.79285,3609848.138585823,280614105.4186646,1.5,295.6038433633125,297.12041144500796,298.5557385618419,296.55976280712093,,,,,,,,
2001-08-31,ALL_US,0,0,296.7309,3603690.5752307586,280835830.56367165,1.5,295.95277828717514,295.853659054871,297.44028636221964,296.18568280874786,,,,,,,,
2001-09-30,ALL_US,0,0,291.89523,3600067.6641318174,281051299.5791919,1.5,292.2700041258185,290.9193025092489,293.32894457122717,291.5930511294602,,,,,,,,
2001-10-31,ALL_US,0,0,285.5062,3598737.877882402,281274877.0662598,1.5,284.54721817044276,284.7715035099391,284.9023755616569,283.6089251122954,,,,,,,,
2001-11-30,ALL_US,0,0,281.39746,3599787.0091437656,281492138.67087114,1.5,277.2939959875333,278.42398237906434,279.2926939511686,279.83796396715553,,,,,,,,
2001-12-31,ALL_US,0,0,274.86478,3603285.0,281717568.5,1.5,272.4950511585583,273.6536660642425,275.5034022233652,271.02177157533515,,,,,,,,
2002-01-31,ALL_US,0,0,274.15912,3609236.4513525474,281943939.6832909,1.5,267.11808281594335,271.72187770336313,269.24031429026644,269.74270409964856,,,,,,,,
2002-02-28,ALL_US,0,0,275.09158,3616720.7574336785,282149213.09185946,1.5,274.1298549084346,275.5893844394689,271.3720298823699,271.33299125984865,,,,,,,,
2002-03-31,ALL_US,0,0,276.92166,3627341.69811792,282377375.8846846,1.5,276.2622255558379,277.3364507675631,276.5756637907755,274.0375200965878,,,,,,,,
2002-04-30,ALL_US,0,0,284.79602,3639956.0489925006,282599074.8819643,1.5,281.3895823433805,284.0962781734113,283.2023606100572,279.04822088958815,,,,,,,,
2002-05-31,ALL_US,0,0,288.23392,3655404.7667823927,282829090.0168504,1.5,289.29817594051457,288.84433745114757,288.87491579882806,286.7388756705637,,,,,,,,
2002-06-30,ALL_US,0,0,294.85797,3672691.160017279,283052581.60322124,1.5,294.03697932010175,293.0175123857214,293.7577497958822,292.618546577817,,,,,,,,
2002-07-31,ALL_US,0,0,297.67612,3690789.1093956335,283283956.38337386,1.5,297.68004877958947,297.9194278235759,298.2517070979301,294.4775849029717,,,,,,,,
2002-08-31,ALL_US,0,0,295.9079,3706534.7016815427,283515185.64073265,1.5,296.8749441046743,298.4066410335865,297.3999670074228,296.05002383289394,,,,,,,,
2002-09-30,ALL_US,0,0,292.56912,3719527.251423729,283738816.1198323,1.5,292.07648870122046,294.08589072556805,294.18327979078873,291.4824983421217,,,,,,,,
2002-10-31,ALL_US,0,0,283.88278,3730632.928605006,283969756.5192794,1.5,285.84808242465846,285.56046535277505,285.7352036463346,284.8692064120298,,,,,,,,
